Riley,I remember the first time,
,you sang with me.,
,,
Yrsa,I don't know why we sing,
,such terrible things of children.,
,,
,Maybe we try to warn them,
,of what's to come.,
,,
Riley,You're not one of,
,"the Hidden People, are you?",
,,
Yrsa,"If you mean an elf, no.",
,,
Riley,You're like me.,
,,
Yrsa,Sensate.,
,,
Riley,"Do you live here, in Iceland?",
,,
Yrsa,I do.,
,,
,Sit down.,
,,
Riley,Why didn't you tell me the truth?,
,,
Yrsa,I needed you to believe me.,
,,
,I needed you to believe...,
,"that you weren't safe here,",
,,
,because you're not.,
,,1
Lito,There were two worlds.,
,,
,I was living in...,
,in two separate worlds.,
,,
,Then...,
,,
,And then somehow they crashed...,
,into one another.,
,,
,And now everything is dead.,
,,
,Another.,
,,
Barista,So are we celebrating or mourning?,
,,
Lito,I'm celebrating.,
,,
Barista,I know how you feel.,
,,
Lito,You do?,
,,
Barista,I mean... I don't know,
,"what it's like to be famous, but...",
,,
,I know what it's like living two lives.,
,,
Lito,Do you know who I am?,
,,
Barista,"You're an actor, right?",
,,
Lito,Yeah.,
Barista,I knew it.,
,,
,I saw you in that telenovela,
,where you had an evil twin,
,,
,that was trying,
,"to take over your life, right?",
,,
Lito,The Mirror Has No Heart.,
,,
Barista,That's it.,
,,
,You were good in it and... bad.,
,,
,"But... that's what this is about,",
,isn't it?,
,,
,The movie said something true,
,"about all of us,",
,,
,"that we all have this... other nature,",
,this... secret self,
,,
,that is capable of really beautiful,
,and really terrible things.,
,,
,"I, too, have a secret self.",
,,
,And right now...,
,,
,it really wants to take you,
,to that bathroom over there,
,,
,and do some...,
,beautiful and terrible things to you.,
,,
Lito,What are you doing?,
,,
,How can you possibly,
,think that I could be like that?,
,,
,I'm not a faggot.,
,,1
Yrsa,The Biologic Preservation Organization,
,funds projects like the DNA census,
,,
,in order to track and hunt down,
,any potential sensate.,
,,
Riley,Do you work for them?,
,,
Yrsa,I try to save the ones I can,
,before they're discovered.,
,,
,Your mother brought you in,
,,
,to see if you have the genes,
,for the same disease that was killing her.,
,,
,"And fortunately, I saw the report on you",
,before anyone else did.,
,,
Riley,You told a child she was hexed.,
,,
,You made me believe that...,
,I caused my mother's death.,
,,
Yrsa,I'm sorry if I caused you,
,unnecessary pain.,
,,
Riley,"Because of you, I believed that what",
,happened in the mountains was my fault.,
,,
Yrsa,My intention was to protect you.,
,,
Riley,You have children?,
,,
Yrsa,Never wanted them.,
Riley,Why?,
,,
Yrsa,Afraid they would be like me.,
,,
,Afraid they would be hunted...,
,that I would have to feel them die.,
,,1
Sarah,Don't look at him.,
,,
Angelica,That's how he got me.,
,,
Sarah,He knows you're here.,
,,
,Run!,
,,
Whispers,Look at me! Look at me!,
,,1
Will,Shit.,
,,
Jonas,"Hello, Will.",
,,1
Riley,You knew what was happening.,
,,
,Why didn't you help me?,
,,
Yrsa,I took terrible chances to protect you.,
,,
,I felt your pain.,
,,
,I lived it.,
,,
,I called the rescue authorities.,
,,
,"If I hadn't gotten involved,",
,you'd be dead.,
,,
Riley,That's what I wanted.,
,,
,To be dead.,
,,
,To be with them.,
,,
Yrsa,I know.,
,,
,"When we lost one of our cluster,",
