Kala,"Thank you, but I'm fine, really.",
,,
Sanyam,You're sure?,
,,
Kala,Yeah. Why?,
,,
Sanyam,Rajan is waiting here downstairs.,
,,
,(moans),
,,
,(floorboards creaking),
,,1
Wolfgang,"Hello, again.",
,,
Kala,"Oh, no.",
,,
,"No, no.",
,,
,"Oh, no.",
,,
,"No, no, no, no, no, no, no.",
,,
,You have already ruined my life.,
,,
Wolfgang,I didn't ruin anything.,
,,
,You didn't want to marry that guy.,
,,
Kala,That is not for you to say.,
,,
Wolfgang,"Maybe not, but you wanted me to say it.",
,,
Kala,You don't know what I want.,
,,
Wolfgang,Don't I?,
,,
Kala,No.,
,,
,"OK, I don't know what is going on here,",
,"if-- if I am totally losing my mind,",
,,
,or if one of the gods or goddesses,
,is angry with me and has sent a demon.,
,,
,A dangerous pervert demon,
,who never seems to have any clothes on.,
,,
Wolfgang,Germans are not so uptight about nudity.,
Kala,Mm.,
,,
,"This is not about nudity, OK?",
,This is-- This is about decency.,
,,
,It is about privacy.,
,,
Wolfgang,If you were so concerned with privacy,
,"and decency, why did you look?",
,,
Kala,I did not.,
,,
Wolfgang,"Yes, you did.",
,,
,You looked then and you're looking now.,
,,
Kala,(sighs) I'm not.,
,,
Wolfgang,Listen...,
,,
,I don't know what's,
,"happening to us either,",
,,
,but I do know that from the moment,
,"I first saw you, I wanted you.",
,,
,"And somehow, I feel",
,"that you want me, too.",
,,
Kala,"Oh, my God.",
,,
,You are a demon.,
,,1
,(heavy metal music playing),
,(crowd cheering),
,,
,(whistles),
,,
Hernando,This is-- This is the Manichaean drama.,
,"It's life and death, good and evil.",
,,
,(crowd cheering),
,,
,La parca negra is a symbol.,
,,
,He is the devil in our lives.,
,,
,"For some, he can represent the government,",
,,
,the class system,
,or any form of oppression.,
,,
,"But for most of us,",
,he is that fear we're afraid to face.,
,,
,Come on!,
,,
,Come on!,
,,
Lito,You will discover that Hernando,
,thinks a lot about everything.,
,,
,That's what I love about him.,
Daniela,I get it.,
,,
,(crowd clamoring),
,,
,"You love this, don't you?",
Hernando,Mm!,
,,
,"I love art, all kinds of art.",
,(laughs),
,,
,"I mean, this is a dance",
,that is also a fight.,
,,
,The struggle that takes place in the ring,
,is a reflection of the struggle,
,,
,that takes place in our minds,
,and in our hearts.,
,,
,"At some point,",
,we all encounter our own parca negra.,
,,
,"He is that thing we are afraid of,",
,,
,that thing that stops us from becoming,
,what we know we can become.,
,,
,"Until we defeat him,",
,we will never know peace.,
,,
,Oh!,
,,
Daniela,Get him!,
Hernando,Come on!,
,,
,(shouts in Spanish),
,Come on!,
,,
,(crowd clamoring),
,,
,(crowd noise fades),
,,1
Rajan,Mm.,
,,
,Your father's patra ni machhi,
,is a gift to my mouth.,
,,
,Every taste bud,
,is dancing and singing his praise.,
,,
Kala,It's his grandmother's recipe.,
,,
Rajan,Mm.,
,,
,Amazing. Absolutely amazing to me,
,how lives can span generations,
,,
,"in something as simple as a recipe,",
,or something as complex as DNA.,
,,
Kala,"By all accounts, great-grandmother",
,"was a very difficult person,",
,,
,"who told my father he was a terrible cook,",
,,
,and hated the way he made,
,the patra ni machhi.,
,,
Rajan,"Well, back then,",
,it must have been very hard,
,,
,for a woman with her obvious talents.,
,,
,"Even today, she would have a hard time",
,,
,getting the same recognition,
,your father gets just because he's a man.,
,,
,"Well, our parents do",
,"the best that they can,",
,,
,and it's our job to forgive them.,
,,
Kala,"Rajan, you're not making this easy,",
,but I think we should just get on with it.,
,,
Rajan,Get on with what?,
Kala,I know why you came here.,
,,
,I know that if it was you that had fainted,
,"just before you were to marry me,",
,,
