,(wind howling),
,,
,(heart monitor beeps steadily),
,,
Riley,(whispers) I'm so cold.,
,,
,Why is there no heat?,
,,
,(exhales),
,,
,(heart monitor echoes),
,,
Magnus,(whispers) Riley.,
,,
Riley,(whispers) Magnus.,
,,
Magnus,Come with me.,
,,
Yrsa,You stupid girl.,
,,
,I told you this would happen.,
,,
Riley,(voice breaks) I'm sorry.,
,,
Yrsa,You've been apologizing,
,your whole life.,
,,
,You won't have to anymore.,
,,
,(gasps softly),
,(Yrsa) Yes...,
,,
,you're going to die here.,
,,1
,(gasps),
Neets,"What? God, what? Nomi! Wh-- What is it?",
,,
Nomi,They know what she is.,
,They're gonna cut her open.,
,,
,They're gonna turn her into a Bolger.,
,We gotta do something.,
,,
Neets,Bu-- What?,
,,
Will,We need information.,
,,
,"We need to know if BPO has been alerted,",
,if someone's made the diagnosis...,
,,
Nomi,I could hack into the hospital,
,"in a second,",
,,
,but I don't have any equipment.,
,They took everything.,
,,
,Can't you... use your police codes,
,or something and call them?,
,,
Neets,Is that the cop?,
Nomi,Yeah.,
,,
Will,I was suspended.,
,,
Nomi,Great.,
Neets,What?,
,,
Nomi,He got suspended.,
Neets,Great.,
,,
Nomi,(Nomi) What do we do?,
,,
,(knocking at door),
,,
Will,I-- I wouldn't answer that.,
,,
Nomi,No one looking for a fugitive,
,would knock like that.,
,,
,"(Neets breathes heavily, gasps)",
,,
,Bug!,
,,
Bug,"Hello, Angels.",
,,
Nomi,"Bug, what are you doing here?",
,,
Bug,"Feds are funny, you know.",
,,
,They spend all that money,
,protecting things that nobody cares about.,
,,
,Then they leave,
,the real information lying around,
,,
,like a Post-it note on a refrigerator.,
,,
,"For instance, when they confiscate",
,"illegal electronic equipment,",
,,
,it's inventoried to a site...,
,,
,that's like a shopping list,
,to a guy like me.,
,,
,"So-- Thank you, baby.",
,,
,So when I saw exactly the things,
,"that I had just sold you posted,",
,,
,well... the Bug suspected foul play.,
,,
Nomi,"Oh, I-- I don't have",
,"any money to pay you, Bug.",
,,
Bug,I didn't come for money.,
,,
,I'd still be in prison,
,"if it weren't for you, Mike.",
,,
,I mean Nomi. Nomi.,
,,
,"Look, I don't know what kind of fight",
,"you're getting yourself into, but...",
,,
,I do know... you can't shoot back,
,without any bullets in your gun.,
,,
,So...,
,,
