Source,Target,pair,Weight
Kala,Wedding Planner 1,Kala Wedding Planner 1,1
Kala,Detective 1,Kala Detective 1,4
Kala,Detective 2,Kala Detective 2,4
Kala,Sahana,Kala Sahana,5
Kala,Van Damme,Kala Van Damme,1
Kala,Worshipper 1,Kala Worshipper 1,4
Kala,Worshipper 2,Kala Worshipper 2,3
Sanyam,Rajan,Sanyam Rajan,15
Sanyam,Manendra,Sanyam Manendra,15
Sanyam,Priya,Sanyam Priya,10
Sanyam,Planner 1,Sanyam Planner 1,4
Priest,Felix,Priest Felix,3
Felix,Wolfgang,Felix Wolfgang,143
Felix,Steiner,Felix Steiner,9
Felix,Teacher,Felix Teacher,6
Felix,Daya,Felix Daya,2
Felix,Abraham,Felix Abraham,18
Felix,Saleswoman,Felix Saleswoman,6
Felix,Sommelier,Felix Sommelier,6
Felix,Karaoke girl,Felix Karaoke girl,2
Felix,Woman,Felix Woman,2
Felix,Conan,Felix Conan,2
Felix,Young Tough 1,Felix Young Tough 1,2
Felix,Anton,Felix Anton,1
Wolfgang,Steiner,Wolfgang Steiner,15
Wolfgang,Sergei's Wife,Wolfgang Sergei's Wife,3
Wolfgang,Sergei,Wolfgang Sergei,11
Wolfgang,Daniela,Wolfgang Daniela,1
Wolfgang,Rajan,Wolfgang Rajan,1
Wolfgang,Anja,Wolfgang Anja,30
Wolfgang,Doctor,Wolfgang Doctor,6
Wolfgang,Abraham,Wolfgang Abraham,14
Wolfgang,Sommelier,Wolfgang Sommelier,2
Wolfgang,Karaoke girl,Wolfgang Karaoke girl,2
Wolfgang,Conan,Wolfgang Conan,1
Wolfgang,Young Tough 1,Wolfgang Young Tough 1,2
Wolfgang,Young Tough 2,Wolfgang Young Tough 2,1
Steiner,Henchman 1,Steiner Henchman 1,4
Steiner,Henchman 2,Steiner Henchman 2,3
Shiro,Capheus,Shiro Capheus,53
Shiro,Jela,Shiro Jela,3
Shiro,Githu,Shiro Githu,2
Shiro,Grandpa Capheus,Shiro Grandpa Capheus,3
Shiro,Grandma Capheus,Shiro Grandma Capheus,2
Capheus,Nomi,Capheus Nomi,3
Capheus,Jela,Capheus Jela,152
Capheus,Widow,Capheus Widow,6
Capheus,Batvan Driver,Capheus Batvan Driver,3
Capheus,Mr. Fuck Off,Capheus Mr. Fuck Off,6
Capheus,Thug,Capheus Thug,6
Capheus,Githu,Capheus Githu,48
Capheus,Officer,Capheus Officer,6
Capheus,Passenger,Capheus Passenger,2
Capheus,Silas,Capheus Silas,32
Capheus,Amondi,Capheus Amondi,17
Capheus,Elena,Capheus Elena,2
Nomi,Neets,Nomi Neets,336
Nomi,Green Fairy,Nomi Green Fairy,6
Nomi,Purple Fairy,Nomi Purple Fairy,9
Nomi,Sam,Nomi Sam,12
Nomi,Patron,Nomi Patron,9
Nomi,Diego,Nomi Diego,4
Nomi,Nurse,Nomi Nurse,47
Nomi,Janet,Nomi Janet,41
Nomi,Metzger,Nomi Metzger,39
Nomi,Police,Nomi Police,6
Nomi,Gunnar,Nomi Gunnar,1
Nomi,Disney,Nomi Disney,3
Nomi,Grace,Nomi Grace,9
Nomi,Bug,Nomi Bug,22
Nomi,Rental Agent,Nomi Rental Agent,2
Nomi,Agent,Nomi Agent,2
Nomi,Police Officer,Nomi Police Officer,3
Nomi,Punk 1,Nomi Punk 1,3
Nomi,Punk 2,Nomi Punk 2,1
Nomi,Receptionist,Nomi Receptionist,2
Neets,Green Fairy,Neets Green Fairy,3
Neets,Purple Fairy,Neets Purple Fairy,12
Neets,Sam,Neets Sam,12
Neets,Nurse,Neets Nurse,2
Neets,Teagan,Neets Teagan,3
Neets,Metzger,Neets Metzger,12
Neets,Lola,Neets Lola,14
Neets,Officer,Neets Officer,4
Neets,Gunnar,Neets Gunnar,1
Neets,Disney,Neets Disney,2
Neets,Grace,Neets Grace,9
Neets,Bug,Neets Bug,3
Neets,Rental Agent,Neets Rental Agent,1
Neets,Neighbor,Neets Neighbor,1
Neets,Agent,Neets Agent,6
Neets,Police Officer,Neets Police Officer,1
Sergei's Wife,Sergei,Sergei's Wife Sergei,6
Sergei,Henchman,Sergei Henchman,1
Jela,Widow,Jela Widow,12
Jela,Batvan Driver,Jela Batvan Driver,3
Jela,Farmer,Jela Farmer,27
Jela,Mr. Fuck Off,Jela Mr. Fuck Off,60
Jela,Officer,Jela Officer,6
Jela,Passenger,Jela Passenger,2
Jela,Amondi,Jela Amondi,3
Jela,Elena,Jela Elena,2
Widow,Thug,Widow Thug,6
